Gene,Symbol,Description
DDB_G0289945,DDB_G0289945,hypothetical protein
DDB_G0289951,DDB_G0289951,hypothetical protein
DDB_G0289953,DDB_G0289953,hypothetical protein
DDB_G0289955,DDB_G0289955,hypothetical protein
DDB_G0289957,DDB_G0289957,hypothetical protein
DDB_G0289963,DDB_G0289963,hypothetical protein
DDB_G0289965,DDB_G0289965,hypothetical protein
DDB_G0289969,DDB_G0289969,hypothetical protein
DDB_G0289971,med24,hypothetical protein
DDB_G0289973,DDB_G0289973,hypothetical protein
DDB_G0289975,DDB_G0289975,hypothetical protein
DDB_G0289977,DDB_G0289977,hypothetical protein
DDB_G0289983,DDB_G0289983,hypothetical protein
DDB_G0289985,DDB_G0289985,hypothetical protein
DDB_G0289987,DDB_G0289987,hypothetical protein
DDB_G0289989,DDB_G0289989,hypothetical protein
DDB_G0289991,DDB_G0289991,hypothetical protein
DDB_G0289995,DDB_G0289995,hypothetical protein
DDB_G0289997,DDB_G0289997,hypothetical protein
DDB_G0289999,DDB_G0289999,hypothetical protein
DDB_G0290001,DDB_G0290001,hypothetical protein
DDB_G0290003,DDB_G0290003,hypothetical protein
DDB_G0290007,DDB_G0290007,hypothetical protein
DDB_G0290013,DDB_G0290013,hypothetical protein
DDB_G0290015,grxA,hypothetical protein
DDB_G0290017,DDB_G0290017,hypothetical protein
DDB_G0290019,DDB_G0290019,hypothetical protein
DDB_G0290021,DDB_G0290021,hypothetical protein
DDB_G0290025,DDB_G0290025,hypothetical protein
DDB_G0290031,DDB_G0290031,hypothetical protein
DDB_G0290035,DDB_G0290035,hypothetical protein
DDB_G0290039,DDB_G0290039,hypothetical protein
DDB_G0290041,DDB_G0290041,hypothetical protein
DDB_G0290043,DDB_G0290043,hypothetical protein
DDB_G0290045,DDB_G0290045,hypothetical protein
DDB_G0290047,DDB_G0290047,hypothetical protein
DDB_G0290051,DDB_G0290051,hypothetical protein
DDB_G0290057,DDB_G0290057,hypothetical protein
DDB_G0290059,DDB_G0290059,hypothetical protein
DDB_G0290061,DDB_G0290061,hypothetical protein
DDB_G0290065,DDB_G0290065,hypothetical protein
DDB_G0290069,pitA,hypothetical protein
DDB_G0290071,sigG,hypothetical protein
DDB_G0290073,DDB_G0290073,hypothetical protein
DDB_G0290079,pgtB,hypothetical protein
DDB_G0290085,DDB_G0290085,hypothetical protein
DDB_G0290089,DDB_G0290089,hypothetical protein
DDB_G0290093,DDB_G0290093,hypothetical protein
DDB_G0290095,DDB_G0290095,hypothetical protein
DDB_G0290097,DDB_G0290097,hypothetical protein
DDB_G0290101,DDB_G0290101,hypothetical protein
DDB_G0290107,DDB_G0290107,hypothetical protein
DDB_G0290109,DDB_G0290109,hypothetical protein
DDB_G0290123,phbA,hypothetical protein
DDB_G0290125,DDB_G0290125,hypothetical protein
DDB_G0290129,DDB_G0290129,hypothetical protein
DDB_G0290133,DDB_G0290133,hypothetical protein
DDB_G0290135,DDB_G0290135,hypothetical protein
DDB_G0290137,DDB_G0290137,hypothetical protein
DDB_G0290143,DDB_G0290143,hypothetical protein
DDB_G0290145,DDB_G0290145,hypothetical protein
DDB_G0290147,DDB_G0290147,hypothetical protein
DDB_G0290151,DDB_G0290151,hypothetical protein
DDB_G0290153,DDB_G0290153,hypothetical protein
DDB_G0290155,DDB_G0290155,hypothetical protein
DDB_G0290165,bzpR,hypothetical protein
DDB_G0290167,DDB_G0290167,hypothetical protein
DDB_G0290169,bzpO,hypothetical protein
DDB_G0290171,bzpS,hypothetical protein
DDB_G0290173,bzpI,hypothetical protein
DDB_G0290175,DDB_G0290175,hypothetical protein
DDB_G0290177,DDB_G0290177,hypothetical protein
DDB_G0290183,DDB_G0290183,hypothetical protein
DDB_G0290189,DDB_G0290189,hypothetical protein
DDB_G0290191,DDB_G0290191,hypothetical protein
DDB_G0290195,DDB_G0290195,hypothetical protein
DDB_G0290199,DDB_G0290199,hypothetical protein
DDB_G0290201,DDB_G0290201,hypothetical protein
DDB_G0290203,DDB_G0290203,hypothetical protein
DDB_G0290205,DDB_G0290205,hypothetical protein
DDB_G0290209,med10,hypothetical protein
DDB_G0290211,DDB_G0290211,hypothetical protein
DDB_G0290215,DDB_G0290215,hypothetical protein
DDB_G0290219,DDB_G0290219,hypothetical protein
DDB_G0290221,DDB_G0290221,hypothetical protein
DDB_G0290231,DDB_G0290231,hypothetical protein
DDB_G0290235,DDB_G0290235,hypothetical protein
DDB_G0290239,DDB_G0290239,hypothetical protein
DDB_G0290241,DDB_G0290241,hypothetical protein
DDB_G0290247,DDB_G0290247,hypothetical protein
DDB_G0290249,DDB_G0290249,hypothetical protein
DDB_G0290253,DDB_G0290253,hypothetical protein
DDB_G0290255,DDB_G0290255,hypothetical protein
DDB_G0290265,GP138D,hypothetical protein
DDB_G0290273,DDB_G0290273,hypothetical protein
DDB_G0290275,DDB_G0290275,hypothetical protein
DDB_G0290277,DDB_G0290277,hypothetical protein
DDB_G0290283,DDB_G0290283,hypothetical protein
DDB_G0290285,DDB_G0290285,hypothetical protein
DDB_G0290289,DDB_G0290289,hypothetical protein
DDB_G0290291,DDB_G0290291,hypothetical protein
DDB_G0290293,DDB_G0290293,hypothetical protein
DDB_G0290295,DDB_G0290295,hypothetical protein
DDB_G0290299,DDB_G0290299,hypothetical protein
DDB_G0290301,DDB_G0290301,hypothetical protein
DDB_G0290303,bzpP,hypothetical protein
DDB_G0290305,DDB_G0290305,hypothetical protein
DDB_G0290309,DDB_G0290309,hypothetical protein
DDB_G0290311,DDB_G0290311,hypothetical protein
DDB_G0290313,DDB_G0290313,hypothetical protein
DDB_G0290321,DDB_G0290321,hypothetical protein
DDB_G0290323,DDB_G0290323,hypothetical protein
DDB_G0290325,DDB_G0290325,hypothetical protein
DDB_G0290333,DDB_G0290333,hypothetical protein
DDB_G0290335,DDB_G0290335,hypothetical protein
DDB_G0290337,DDB_G0290337,hypothetical protein
DDB_G0290339,ugt1,hypothetical protein
DDB_G0290341,DDB_G0290341,hypothetical protein
DDB_G0290347,DDB_G0290347,hypothetical protein
DDB_G0290349,DDB_G0290349,hypothetical protein
DDB_G0290351,DDB_G0290351,hypothetical protein
DDB_G0290359,DDB_G0290359,hypothetical protein
DDB_G0290361,DDB_G0290361,hypothetical protein
DDB_G0290367,DDB_G0290367,hypothetical protein
DDB_G0290371,DDB_G0290371,hypothetical protein
DDB_G0290373,DDB_G0290373,hypothetical protein
DDB_G0290375,DDB_G0290375,hypothetical protein
DDB_G0290379,DDB_G0290379,hypothetical protein
DDB_G0290381,DDB_G0290381,hypothetical protein
DDB_G0290383,DDB_G0290383,hypothetical protein
DDB_G0290387,DDB_G0290387,hypothetical protein
DDB_G0290391,DDB_G0290391,hypothetical protein
DDB_G0290393,DDB_G0290393,hypothetical protein
DDB_G0290395,DDB_G0290395,hypothetical protein
DDB_G0290399,DDB_G0290399,hypothetical protein
DDB_G0290403,DDB_G0290403,hypothetical protein
DDB_G0290409,DDB_G0290409,hypothetical protein
DDB_G0290411,DDB_G0290411,hypothetical protein
DDB_G0290415,DDB_G0290415,hypothetical protein
DDB_G0290419,DDB_G0290419,hypothetical protein
DDB_G0290421,DDB_G0290421,hypothetical protein
DDB_G0290423,DDB_G0290423,hypothetical protein
DDB_G0290425,DDB_G0290425,hypothetical protein
DDB_G0290427,DDB_G0290427,hypothetical protein
DDB_G0290429,DDB_G0290429,hypothetical protein
DDB_G0290431,DDB_G0290431,hypothetical protein
DDB_G0290435,DDB_G0290435,hypothetical protein
DDB_G0290437,DDB_G0290437,hypothetical protein
DDB_G0290441,DDB_G0290441,hypothetical protein
DDB_G0290443,DDB_G0290443,hypothetical protein
DDB_G0290447,DDB_G0290447,hypothetical protein
DDB_G0290457,DDB_G0290457,hypothetical protein
DDB_G0290459,DDB_G0290459,hypothetical protein
DDB_G0290461,DDB_G0290461,hypothetical protein
DDB_G0290463,DDB_G0290463,hypothetical protein
DDB_G0290465,DDB_G0290465,hypothetical protein
DDB_G0290473,DDB_G0290473,hypothetical protein
DDB_G0290475,DDB_G0290475,hypothetical protein
DDB_G0290481,talA,hypothetical protein
DDB_G0290485,dlrA,hypothetical protein
DDB_G0290487,DDB_G0290487,hypothetical protein
DDB_G0290489,DDB_G0290489,hypothetical protein
DDB_G0290495,DDB_G0290495,hypothetical protein
DDB_G0290497,DDB_G0290497,hypothetical protein
DDB_G0290503,DDB_G0290503,hypothetical protein
DDB_G0290505,DDB_G0290505,hypothetical protein
DDB_G0290507,DDB_G0290507,hypothetical protein
DDB_G0290513,DDB_G0290513,hypothetical protein
DDB_G0290519,DDB_G0290519,hypothetical protein
DDB_G0290521,DDB_G0290521,hypothetical protein
DDB_G0290523,DDB_G0290523,hypothetical protein
DDB_G0290525,DDB_G0290525,hypothetical protein
DDB_G0290527,DDB_G0290527,hypothetical protein
DDB_G0290531,DDB_G0290531,hypothetical protein
DDB_G0290533,DDB_G0290533,hypothetical protein
DDB_G0290539,DDB_G0290539,hypothetical protein
DDB_G0290541,DDB_G0290541,hypothetical protein
DDB_G0290543,DDB_G0290543,hypothetical protein
DDB_G0290545,DDB_G0290545,hypothetical protein
DDB_G0290547,DDB_G0290547,hypothetical protein
DDB_G0290549,DDB_G0290549,hypothetical protein
DDB_G0290557,DDB_G0290557,hypothetical protein
DDB_G0290559,DDB_G0290559,hypothetical protein
DDB_G0290561,DDB_G0290561,hypothetical protein
DDB_G0290565,DDB_G0290565,hypothetical protein
DDB_G0290567,DDB_G0290567,hypothetical protein
DDB_G0290569,DDB_G0290569,hypothetical protein
DDB_G0290571,DDB_G0290571,hypothetical protein
DDB_G0290573,DDB_G0290573,hypothetical protein
DDB_G0290579,DDB_G0290579,hypothetical protein
DDB_G0290583,DDB_G0290583,hypothetical protein
DDB_G0290585,DDB_G0290585,hypothetical protein
DDB_G0290587,DDB_G0290587,hypothetical protein
DDB_G0290589,DDB_G0290589,hypothetical protein
DDB_G0290593,DDB_G0290593,hypothetical protein
DDB_G0290595,DDB_G0290595,hypothetical protein
DDB_G0290599,DDB_G0290599,hypothetical protein
DDB_G0290603,DDB_G0290603,hypothetical protein
DDB_G0290605,DDB_G0290605,hypothetical protein
DDB_G0290607,DDB_G0290607,hypothetical protein
DDB_G0290613,DDB_G0290613,hypothetical protein
DDB_G0290619,DDB_G0290619,hypothetical protein
DDB_G0290623,DDB_G0290623,hypothetical protein
DDB_G0290625,DDB_G0290625,hypothetical protein
DDB_G0290627,DDB_G0290627,hypothetical protein
DDB_G0290629,DDB_G0290629,hypothetical protein
DDB_G0290633,DDB_G0290633,hypothetical protein
DDB_G0290635,DDB_G0290635,hypothetical protein
DDB_G0290637,DDB_G0290637,hypothetical protein
DDB_G0290641,DDB_G0290641,hypothetical protein
DDB_G0290645,DDB_G0290645,hypothetical protein
DDB_G0290651,DDB_G0290651,hypothetical protein
DDB_G0290653,DDB_G0290653,hypothetical protein
DDB_G0290655,DDB_G0290655,hypothetical protein
DDB_G0290657,DDB_G0290657,hypothetical protein
DDB_G0290663,DDB_G0290663,hypothetical protein
DDB_G0290667,DDB_G0290667,hypothetical protein
DDB_G0290673,DDB_G0290673,hypothetical protein
DDB_G0290675,DDB_G0290675,hypothetical protein
DDB_G0290677,DDB_G0290677,hypothetical protein
DDB_G0290679,DDB_G0290679,hypothetical protein
DDB_G0290681,DDB_G0290681,hypothetical protein
DDB_G0290683,DDB_G0290683,hypothetical protein
DDB_G0290691,DDB_G0290691,hypothetical protein
DDB_G0290695,DDB_G0290695,hypothetical protein
DDB_G0290697,DDB_G0290697,hypothetical protein
DDB_G0290713,DDB_G0290713,hypothetical protein
DDB_G0290715,DDB_G0290715,hypothetical protein
DDB_G0290727,DDB_G0290727,hypothetical protein
DDB_G0290739,DDB_G0290739,hypothetical protein
DDB_G0290749,DDB_G0290749,hypothetical protein
DDB_G0290763,DDB_G0290763,hypothetical protein
DDB_G0290767,DDB_G0290767,hypothetical protein
DDB_G0290773,DDB_G0290773,hypothetical protein
DDB_G0290777,DDB_G0290777,hypothetical protein
DDB_G0290781,med20,hypothetical protein
DDB_G0290785,DDB_G0290785,hypothetical protein
DDB_G0290787,mybO,hypothetical protein
DDB_G0290797,DDB_G0290797,hypothetical protein
DDB_G0290801,DDB_G0290801,hypothetical protein
DDB_G0290803,DDB_G0290803,hypothetical protein
DDB_G0290805,DDB_G0290805,hypothetical protein
DDB_G0290807,DDB_G0290807,hypothetical protein
DDB_G0290811,DDB_G0290811,hypothetical protein
DDB_G0290815,DDB_G0290815,hypothetical protein
DDB_G0290817,DDB_G0290817,hypothetical protein
DDB_G0290819,DDB_G0290819,hypothetical protein
DDB_G0290821,DDB_G0290821,hypothetical protein
DDB_G0290823,DDB_G0290823,hypothetical protein
DDB_G0290825,DDB_G0290825,hypothetical protein
DDB_G0290835,DDB_G0290835,hypothetical protein
DDB_G0290837,DDB_G0290837,hypothetical protein
DDB_G0290839,DDB_G0290839,hypothetical protein
DDB_G0290841,DDB_G0290841,hypothetical protein
DDB_G0290843,DDB_G0290843,hypothetical protein
DDB_G0290847,DDB_G0290847,hypothetical protein
DDB_G0290855,DDB_G0290855,hypothetical protein
DDB_G0290857,DDB_G0290857,hypothetical protein
DDB_G0290863,DDB_G0290863,hypothetical protein
DDB_G0290865,DDB_G0290865,hypothetical protein
DDB_G0290871,DDB_G0290871,hypothetical protein
DDB_G0290877,DDB_G0290877,hypothetical protein
DDB_G0290879,DDB_G0290879,hypothetical protein
DDB_G0290881,DDB_G0290881,hypothetical protein
DDB_G0290885,DDB_G0290885,hypothetical protein
DDB_G0290887,DDB_G0290887,hypothetical protein
DDB_G0290893,DDB_G0290893,hypothetical protein
DDB_G0290895,DDB_G0290895,hypothetical protein
DDB_G0290897,DDB_G0290897,hypothetical protein
DDB_G0290907,DDB_G0290907,hypothetical protein
DDB_G0290909,rpa49,hypothetical protein
DDB_G0290911,DDB_G0290911,hypothetical protein
DDB_G0290915,DDB_G0290915,hypothetical protein
DDB_G0290921,DDB_G0290921,hypothetical protein
DDB_G0290923,DDB_G0290923,hypothetical protein
DDB_G0290933,DDB_G0290933,hypothetical protein
DDB_G0290935,DDB_G0290935,hypothetical protein
DDB_G0290941,DDB_G0290941,hypothetical protein
DDB_G0290947,DDB_G0290947,hypothetical protein
DDB_G0290953,DDB_G0290953,hypothetical protein
DDB_G0290955,DDB_G0290955,hypothetical protein
DDB_G0290959,DDB_G0290959,hypothetical protein
DDB_G0290967,DDB_G0290967,hypothetical protein
DDB_G0290969,DDB_G0290969,hypothetical protein
DDB_G0290971,DDB_G0290971,hypothetical protein
DDB_G0290973,DDB_G0290973,hypothetical protein
DDB_G0290977,DDB_G0290977,hypothetical protein
DDB_G0290985,DDB_G0290985,hypothetical protein
DDB_G0290989,DDB_G0290989,hypothetical protein
DDB_G0290991,DDB_G0290991,hypothetical protein
DDB_G0290993,DDB_G0290993,hypothetical protein
DDB_G0290995,DDB_G0290995,hypothetical protein
DDB_G0290999,DDB_G0290999,hypothetical protein
DDB_G0291001,DDB_G0291001,hypothetical protein
DDB_G0291003,DDB_G0291003,hypothetical protein
DDB_G0291005,DDB_G0291005,hypothetical protein
DDB_G0291009,DDB_G0291009,hypothetical protein
DDB_G0291011,DDB_G0291011,hypothetical protein
DDB_G0291013,DDB_G0291013,hypothetical protein
DDB_G0291017,DDB_G0291017,hypothetical protein
DDB_G0291019,DDB_G0291019,hypothetical protein
DDB_G0291023,DDB_G0291023,hypothetical protein
DDB_G0291025,DDB_G0291025,hypothetical protein
DDB_G0291027,DDB_G0291027,hypothetical protein
DDB_G0291033,DDB_G0291033,hypothetical protein
DDB_G0291035,DDB_G0291035,hypothetical protein
DDB_G0291041,DDB_G0291041,hypothetical protein
DDB_G0291045,DDB_G0291045,hypothetical protein
DDB_G0291051,DDB_G0291051,hypothetical protein
DDB_G0291053,DDB_G0291053,hypothetical protein
DDB_G0291055,DDB_G0291055,hypothetical protein
DDB_G0291057,DDB_G0291057,hypothetical protein
DDB_G0291061,DDB_G0291061,hypothetical protein
DDB_G0291063,thoc2,hypothetical protein
DDB_G0291065,DDB_G0291065,hypothetical protein
DDB_G0291067,DDB_G0291067,hypothetical protein
DDB_G0291069,DDB_G0291069,hypothetical protein
DDB_G0291071,DDB_G0291071,hypothetical protein
DDB_G0291073,DDB_G0291073,hypothetical protein
DDB_G0291077,rdiA,hypothetical protein
DDB_G0291083,DDB_G0291083,hypothetical protein
DDB_G0291087,DDB_G0291087,hypothetical protein
DDB_G0291089,DDB_G0291089,hypothetical protein
DDB_G0291091,mapbpip,hypothetical protein
DDB_G0291099,DDB_G0291099,hypothetical protein
DDB_G0291101,DDB_G0291101,hypothetical protein
DDB_G0291103,DDB_G0291103,hypothetical protein
DDB_G0291107,DDB_G0291107,hypothetical protein
DDB_G0291109,DDB_G0291109,hypothetical protein
DDB_G0291111,DDB_G0291111,hypothetical protein
DDB_G0291119,DDB_G0291119,hypothetical protein
DDB_G0291131,DDB_G0291131,hypothetical protein
DDB_G0291135,DDB_G0291135,hypothetical protein
DDB_G0291137,DDB_G0291137,hypothetical protein
DDB_G0291139,DDB_G0291139,hypothetical protein
DDB_G0291143,DDB_G0291143,hypothetical protein
DDB_G0291145,DDB_G0291145,hypothetical protein
DDB_G0291147,DDB_G0291147,hypothetical protein
DDB_G0291151,DDB_G0291151,hypothetical protein
DDB_G0291153,DDB_G0291153,hypothetical protein
DDB_G0291159,DDB_G0291159,hypothetical protein
DDB_G0291161,DDB_G0291161,hypothetical protein
DDB_G0291165,DDB_G0291165,hypothetical protein
DDB_G0291167,DDB_G0291167,hypothetical protein
DDB_G0291169,DDB_G0291169,hypothetical protein
DDB_G0291171,DDB_G0291171,hypothetical protein
DDB_G0291175,DDB_G0291175,hypothetical protein
DDB_G0291181,DDB_G0291181,hypothetical protein
DDB_G0291187,DDB_G0291187,hypothetical protein
DDB_G0291189,DDB_G0291189,hypothetical protein
DDB_G0291195,DDB_G0291195,hypothetical protein
DDB_G0291199,DDB_G0291199,hypothetical protein
DDB_G0291203,DDB_G0291203,hypothetical protein
DDB_G0291205,DDB_G0291205,hypothetical protein
DDB_G0291209,DDB_G0291209,hypothetical protein
DDB_G0291213,DDB_G0291213,hypothetical protein
DDB_G0291215,DDB_G0291215,hypothetical protein
DDB_G0291217,DDB_G0291217,hypothetical protein
DDB_G0291219,DDB_G0291219,hypothetical protein
DDB_G0291221,DDB_G0291221,hypothetical protein
DDB_G0291223,DDB_G0291223,hypothetical protein
DDB_G0291229,abpF,hypothetical protein
DDB_G0291247,mfeA,hypothetical protein
DDB_G0291253,dia2,hypothetical protein
DDB_G0291255,29C,hypothetical protein
DDB_G0291257,DDB_G0291257,hypothetical protein
DDB_G0291261,DDB_G0291261,hypothetical protein
DDB_G0291263,DDB_G0291263,hypothetical protein
DDB_G0291275,DDB_G0291275,hypothetical protein
DDB_G0291277,DDB_G0291277,hypothetical protein
DDB_G0291279,DDB_G0291279,hypothetical protein
DDB_G0291281,DDB_G0291281,hypothetical protein
DDB_G0291285,DDB_G0291285,hypothetical protein
DDB_G0291289,DDB_G0291289,hypothetical protein
DDB_G0291297,med14,hypothetical protein
DDB_G0291299,DDB_G0291299,hypothetical protein
DDB_G0291308,DDB_G0291308,hypothetical protein
DDB_G0291310,DDB_G0291310,hypothetical protein
DDB_G0291316,DDB_G0291316,hypothetical protein
DDB_G0291318,DDB_G0291318,hypothetical protein
DDB_G0291322,DDB_G0291322,hypothetical protein
DDB_G0291324,DDB_G0291324,hypothetical protein
DDB_G0291326,DDB_G0291326,hypothetical protein
DDB_G0291328,DDB_G0291328,hypothetical protein
DDB_G0291332,DDB_G0291332,hypothetical protein
DDB_G0291334,DDB_G0291334,hypothetical protein
DDB_G0291336,DDB_G0291336,hypothetical protein
DDB_G0291338,DDB_G0291338,hypothetical protein
DDB_G0291340,DDB_G0291340,hypothetical protein
DDB_G0291354,DDB_G0291354,hypothetical protein
DDB_G0291362,rpc19,hypothetical protein
DDB_G0291364,DDB_G0291364,hypothetical protein
DDB_G0291366,DDB_G0291366,hypothetical protein
DDB_G0291372,dimB,hypothetical protein
DDB_G0291378,forJ,hypothetical protein
DDB_G0291382,DDB_G0291382,hypothetical protein
DDB_G0291384,DDB_G0291384,hypothetical protein
DDB_G0291388,DDB_G0291388,hypothetical protein
DDB_G0291390,nup98,hypothetical protein
DDB_G0291392,DDB_G0291392,hypothetical protein
DDB_G0291394,DDB_G0291394,hypothetical protein
DDB_G0291402,DDB_G0291402,hypothetical protein
DDB_G0291406,DDB_G0291406,hypothetical protein
DDB_G0291408,DDB_G0291408,hypothetical protein
DDB_G0291410,DDB_G0291410,hypothetical protein
DDB_G0291414,DDB_G0291414,hypothetical protein
DDB_G0291416,DDB_G0291416,hypothetical protein
DDB_G0291418,DDB_G0291418,hypothetical protein
DDB_G0291420,DDB_G0291420,hypothetical protein
DDB_G0291422,DDB_G0291422,hypothetical protein
DDB_G0291424,DDB_G0291424,hypothetical protein
DDB_G0291426,DDB_G0291426,hypothetical protein
DDB_G0291430,DDB_G0291430,hypothetical protein
DDB_G0291432,DDB_G0291432,hypothetical protein
DDB_G0291436,DDB_G0291436,hypothetical protein
DDB_G0291440,coq6,hypothetical protein
DDB_G0291442,DDB_G0291442,hypothetical protein
DDB_G0291444,DDB_G0291444,hypothetical protein
DDB_G0291446,DDB_G0291446,hypothetical protein
DDB_G0291450,DDB_G0291450,hypothetical protein
DDB_G0291452,DDB_G0291452,hypothetical protein
DDB_G0291458,DDB_G0291458,hypothetical protein
DDB_G0291462,DDB_G0291462,hypothetical protein
DDB_G0291464,DDB_G0291464,hypothetical protein
DDB_G0291466,DDB_G0291466,hypothetical protein
DDB_G0291468,DDB_G0291468,hypothetical protein
DDB_G0291470,DDB_G0291470,hypothetical protein
DDB_G0291474,DDB_G0291474,hypothetical protein
DDB_G0291478,DDB_G0291478,hypothetical protein
DDB_G0291480,DDB_G0291480,hypothetical protein
DDB_G0291484,DDB_G0291484,hypothetical protein
DDB_G0291488,DDB_G0291488,hypothetical protein
DDB_G0291490,pigT,hypothetical protein
DDB_G0291492,DDB_G0291492,hypothetical protein
DDB_G0291494,DDB_G0291494,hypothetical protein
DDB_G0291496,DDB_G0291496,hypothetical protein
DDB_G0291508,DDB_G0291508,hypothetical protein
DDB_G0291512,epnA,hypothetical protein
DDB_G0291518,DDB_G0291518,hypothetical protein
DDB_G0291520,DDB_G0291520,hypothetical protein
DDB_G0291522,DDB_G0291522,hypothetical protein
DDB_G0291528,iptB,hypothetical protein
DDB_G0291530,DDB_G0291530,hypothetical protein
DDB_G0291532,DDB_G0291532,hypothetical protein
DDB_G0291534,DDB_G0291534,hypothetical protein
DDB_G0291538,DDB_G0291538,hypothetical protein
DDB_G0291540,DDB_G0291540,hypothetical protein
DDB_G0291542,DDB_G0291542,hypothetical protein
DDB_G0291544,DDB_G0291544,hypothetical protein
DDB_G0291546,DDB_G0291546,hypothetical protein
DDB_G0291552,DDB_G0291552,hypothetical protein
DDB_G0291554,DDB_G0291554,hypothetical protein
DDB_G0291558,DDB_G0291558,hypothetical protein
DDB_G0291564,DDB_G0291564,hypothetical protein
DDB_G0291572,DDB_G0291572,hypothetical protein
DDB_G0291574,DDB_G0291574,hypothetical protein
DDB_G0291578,DDB_G0291578,hypothetical protein
DDB_G0291580,DDB_G0291580,hypothetical protein
DDB_G0291582,DDB_G0291582,hypothetical protein
DDB_G0291586,DDB_G0291586,hypothetical protein
DDB_G0291592,DDB_G0291592,hypothetical protein
DDB_G0291594,DDB_G0291594,hypothetical protein
DDB_G0291598,DDB_G0291598,hypothetical protein
DDB_G0291600,DDB_G0291600,hypothetical protein
DDB_G0291602,DDB_G0291602,hypothetical protein
DDB_G0291608,DDB_G0291608,hypothetical protein
DDB_G0291610,DDB_G0291610,hypothetical protein
DDB_G0291612,DDB_G0291612,hypothetical protein
DDB_G0291616,DDB_G0291616,hypothetical protein
DDB_G0291618,DDB_G0291618,hypothetical protein
DDB_G0291620,DDB_G0291620,hypothetical protein
DDB_G0291626,DDB_G0291626,hypothetical protein
DDB_G0291628,DDB_G0291628,hypothetical protein
DDB_G0291632,DDB_G0291632,hypothetical protein
DDB_G0291638,DDB_G0291638,hypothetical protein
DDB_G0291640,DDB_G0291640,hypothetical protein
DDB_G0291642,DDB_G0291642,hypothetical protein
DDB_G0291644,DDB_G0291644,hypothetical protein
DDB_G0291646,DDB_G0291646,hypothetical protein
DDB_G0291654,DDB_G0291654,hypothetical protein
DDB_G0291658,DDB_G0291658,hypothetical protein
DDB_G0291660,smp3,hypothetical protein
DDB_G0291670,DDB_G0291670,hypothetical protein
DDB_G0291672,DDB_G0291672,hypothetical protein
DDB_G0291674,DDB_G0291674,hypothetical protein
DDB_G0291676,DDB_G0291676,hypothetical protein
DDB_G0291678,DDB_G0291678,hypothetical protein
DDB_G0291680,DDB_G0291680,hypothetical protein
DDB_G0291682,DDB_G0291682,hypothetical protein
DDB_G0291686,DDB_G0291686,hypothetical protein
DDB_G0291688,DDB_G0291688,hypothetical protein
DDB_G0291692,DDB_G0291692,hypothetical protein
DDB_G0291694,DDB_G0291694,hypothetical protein
DDB_G0291696,DDB_G0291696,hypothetical protein
DDB_G0291700,DDB_G0291700,hypothetical protein
DDB_G0291704,DDB_G0291704,hypothetical protein
DDB_G0291706,DDB_G0291706,hypothetical protein
DDB_G0291712,DDB_G0291712,hypothetical protein
DDB_G0291716,DDB_G0291716,hypothetical protein
DDB_G0291718,DDB_G0291718,hypothetical protein
DDB_G0291720,DDB_G0291720,hypothetical protein
DDB_G0291722,DDB_G0291722,hypothetical protein
DDB_G0291724,DDB_G0291724,hypothetical protein
DDB_G0291726,DDB_G0291726,hypothetical protein
DDB_G0291730,DDB_G0291730,hypothetical protein
DDB_G0291732,DDB_G0291732,hypothetical protein
DDB_G0291740,DDB_G0291740,hypothetical protein
DDB_G0291742,DDB_G0291742,hypothetical protein
DDB_G0291744,DDB_G0291744,hypothetical protein
DDB_G0291748,DDB_G0291748,hypothetical protein
DDB_G0291754,DDB_G0291754,hypothetical protein
DDB_G0291758,DDB_G0291758,hypothetical protein
DDB_G0291760,DDB_G0291760,hypothetical protein
DDB_G0291766,DDB_G0291766,hypothetical protein
DDB_G0291768,DDB_G0291768,hypothetical protein
DDB_G0291770,DDB_G0291770,hypothetical protein
DDB_G0291772,DDB_G0291772,hypothetical protein
DDB_G0291774,DDB_G0291774,hypothetical protein
DDB_G0291778,DDB_G0291778,hypothetical protein
DDB_G0291782,DDB_G0291782,hypothetical protein
DDB_G0291784,DDB_G0291784,hypothetical protein
DDB_G0291786,DDB_G0291786,hypothetical protein
DDB_G0291790,DDB_G0291790,hypothetical protein
DDB_G0291792,DDB_G0291792,hypothetical protein
DDB_G0291794,DDB_G0291794,hypothetical protein
DDB_G0291796,DDB_G0291796,hypothetical protein
DDB_G0291798,DDB_G0291798,hypothetical protein
DDB_G0291806,DDB_G0291806,hypothetical protein
DDB_G0291808,DDB_G0291808,hypothetical protein
DDB_G0291810,DDB_G0291810,hypothetical protein
DDB_G0291812,DDB_G0291812,hypothetical protein
DDB_G0291816,DDB_G0291816,hypothetical protein
DDB_G0291818,DDB_G0291818,hypothetical protein
DDB_G0291820,DDB_G0291820,hypothetical protein
DDB_G0291824,DDB_G0291824,hypothetical protein
DDB_G0291826,DDB_G0291826,hypothetical protein
DDB_G0291828,DDB_G0291828,hypothetical protein
DDB_G0291836,DDB_G0291836,hypothetical protein
DDB_G0291838,DDB_G0291838,hypothetical protein
DDB_G0291844,DDB_G0291844,hypothetical protein
DDB_G0291854,DDB_G0291854,hypothetical protein
DDB_G0291860,DDB_G0291860,hypothetical protein
DDB_G0291874,DDB_G0291874,hypothetical protein
DDB_G0291878,DDB_G0291878,hypothetical protein
